target,model,R2,Pearson_r,Spearman_rho,Direction_Accuracy,MAE,RMSE,n_test,Correlation_Accuracy_Index
revenue_growth,Ridge,0.5356601990393532,0.745126934511891,0.7266082916756635,0.6625,0.03899563610392948,0.0491137563883433,960,76.71972798549417
revenue_growth,ElasticNet,0.5471984276504978,0.7478744995988675,0.7314381173373669,0.6572916666666667,0.03844514510816608,0.048499711970098856,960,76.8710482911214
ebit_margin,Ridge,0.9783983727131028,0.9899460230446163,0.990017176861469,0.5020833333333333,0.021885439629991794,0.02758473414983843,960,86.92732903807901
ebit_margin,ElasticNet,0.9784825266773068,0.9899986994274999,0.9900634231219294,0.5114583333333333,0.021851592394145816,0.027530950470427626,960,87.1644662624983
tax_rate,Ridge,0.08818741130211993,0.3210028416893919,0.31453225589437483,0.7552083333333334,0.024829718559038764,0.03129256438570129,960,59.75222243110918
tax_rate,ElasticNet,0.10393361393416445,0.3291085578590949,0.3239727907690872,0.7614583333333333,0.02456001358383296,0.031021190132125058,960,60.40452218949355
da_ratio,Ridge,0.7605659400242002,0.8734979625970335,0.8700964630812682,0.5833333333333334,0.005049798748622351,0.0063358144309837655,960,82.15424256766028
da_ratio,ElasticNet,0.7655896722719777,0.8755065555811341,0.871917708907135,0.6114583333333333,0.005002696396943941,0.006268994010785835,960,82.99063950142202
capex_ratio,Ridge,0.6609765263640823,0.8167886025189911,0.8084921050463608,0.56875,0.007617502243334715,0.009565222067483009,960,78.53334975262308
capex_ratio,ElasticNet,0.6630327297137413,0.8163311161389359,0.8078620503384695,0.5604166666666667,0.0076024500273624675,0.009536171048876694,960,78.33997777403503
nwc_ratio,Ridge,0.6410246617538007,0.8059976304028005,0.7979457442987675,0.5822916666666667,0.02052328714808714,0.025818807593886352,960,78.25194192875726
nwc_ratio,ElasticNet,0.6535440565527997,0.8085085346124702,0.8012365600440103,0.6145833333333334,0.020074849204151923,0.025364592089127964,960,79.33210053789368
